52.43	50.96	53.41	46.06	49.98	47.53	53.9	47.04	51.94	45.57	
37.8	33.48	35.64	35.64	38.88	37.08	32.4	38.88	38.88	38.52	
26.6	29.12	26.32	28.0	25.76	26.88	25.76	29.68	26.04	29.68	
22.88	22.44	23.98	21.56	23.54	23.32	20.46	23.54	21.12	22.88	
26.0	24.7	27.3	24.18	25.74	28.08	23.66	23.66	26.26	24.96	
72.1	65.8	69.3	74.2	67.2	70.7	74.2	74.9	67.9	74.2	
116.64	109.08	99.36	113.4	117.72	108.0	99.36	110.16	105.84	108.0	
87.36	82.81	93.73	95.55	98.28	94.64	83.72	94.64	87.36	85.54	
79.5	76.5	81.0	70.5	81.0	72.75	74.25	78.75	74.25	69.0	
74.16	65.52	74.88	79.2	66.24	69.84	74.88	67.68	72.72	72.72	
89.76	84.48	93.28	88.88	91.52	88.88	86.24	80.96	94.16	80.96	
3022.1	3118.55	3407.9	2957.8	3375.75	3311.45	3343.6	3054.25	3343.6	3182.85	
31.5	37.1	34.65	34.65	37.1	36.75	38.5	31.85	35.35	37.8	
